text,risk_level,risk_label
"sugar | WHEAT FLOUR | DOUBLE TONED MILK | Refined Wheat Flour (Maida) | Soya Flour | LIQUID GLUCOSE | Milk Solids | Acidity regulators (330&500()) | refined soyabean oil | Potassium Chloride (Gelling Agent, E508) | Butter",4,Concerning
water | CLASS II PRESERVATIVE | Spices And Condiments | REFINED WHEAT FLOUR (MAIDA) | REFINED PALM OIL | colour (ins 150d),4,Concerning
"refined wheat flour, ANTICAKING AGENT (INS 551), LEMON JUICE CONCENTRATE, Corn Flour, emulsifying stabilizing agents (ins 414, ins 331, ins 415), Invert Syrup, ACIDITY REGULATORS (338, 331, 330), ARTIFICIAL FLAVOURING SUBSTANCE VANILLA AND MILK, acidity regulator (citric acid)",5,High Risk
"Red Chilli Powder, Acidity Regulator (Ins 330), Tertiary Butylhydroquinone (Antioxidant, E319), HYDROGENATED VEGETABLE OIL, cocoa solids, Liquid Glucose, Refined Wheat Flour, edible vegetable oils (palm), WHEAT FLOUR (MAIDA)",5,High Risk
Anticaking Agent E551; Yeast; Peanut; Liquid glucose; maltitol (965); flavour enhancers (ins 627&ins 631).; Artificial Flavourin Substances,5,High Risk
Sugar,2,Safe
"Sucrose, acidity regulator (ins 330)., MALTODEX- TRIN, NATURAL ESSENTIAL OILS, Refined Wheat Flour (Maida), sugar, Vitamin A (Ace Vitamin D2 (Ergocalciferol), Acidity Regulator(Ins 330 & Ins 260), acidity regulator (ins 330)",4,Concerning
"Invert Sugar Syrup, Vitamin B1 (The Chloride Hydrochloride), refined wheat flour (maida), MALT EXTRACT, Refined Palm Oil, Acidity Regulators (5000), 5010))&170(0)), Acidity Regulators (338, 331, 330), CHOCO CRÈME",4,Concerning
"Flavouring Substances, Leavening Agent, Edible Common salt, Leavening Agent (INS 500 {i}), Refined Wheat Flour, Colour (Ins 150D), ACIDITY REGULATOR (INS 330), REFINED PALM OIL, ferrous citrate, Wheat Flour, Acidity Regulator (Citric Acid)",4,Concerning
Butter,2,Safe
"peanut, sugar, IMPROVERS[170(1) 510], FLAVOURING SUBSTANCES, PALM OIL, edible palm oil, Leavening agent, cocoa butter, acidity regulator (e260), EMULSIFIER (INS 322), ARTIFICIAL FLAVOURIN SUBSTANCES, ALMOND",5,High Risk
"cumin seed, MILK SOLIDS",1,Very Safe
"EDIBLE VEGETABLE OIL, WHEAT BRAN, sugar",2,Safe
"Edible Vegetable Oil (Palm), sugar, Refined Wheat Flour (Maida), Sugar, Emulsifier, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], Yeast",4,Concerning
palm oil | LIQUID GLUCOSE | TRICALCIUM PHOSPHATE | Refined Wheat Flour | Refined Soyabean Oil,3,Moderate
"raising agents [503(ii),500(ii)], Malt Extract, REFINED PALMOLEIN OIL, sugar, Liquid Glucose, SYNTHETIC FOOD COLOURS (INS 102 & 133), ARTIFICIAL SWEETENERS, Edible Vegetable Oil (Palm), Sugar, Emulsifiers [471,481 (i)], refined soyabean oil",5,High Risk
"SUGAR, SYNTHETIC FOOD COLOUR (INS 133), Leavening agents ((5000), 503)), Refined Wheat flour (Maida), Sesame Seeds",5,High Risk
"SUGAR, maltodex- trin",2,Safe
"Butter, DRY FRUITS POWDER, wheat flour, lodized Salt, wheat gluten",2,Safe
"Purified Water, toned milk, Rock Salt, WHOLE WHEAT FLOUR(ATTA), Vitamin A (Ace Vitamin D2 (Ergocalciferol)",1,Very Safe
Preservative (Ins234); Palmolein; PALM OIL; Natural Spice Oils; ARTIFICIAL FLAVORING SUBSTANCE.; EDIBLE VEGETABLE OILS (PALM),5,High Risk
"cinnamon, stabilisers (415, 466, 1400),, edible vegetable oil (palmolein oil)",4,Concerning
"hydrogenated vegetable oil, spices & condiments, EDIBLE VEGETABLE OIL (PALM), SUGAR, Toned Milk",2,Safe
"ARTIFICIAL SWEETENERS, acidity regulator (citric acid), Edible Vegetable Oil (Palm), ARTIFICIAL FLAVOURIN SUBSTANCES, Palm oil, LEAVENING AGENT (INS 500 {I}), SUGAR, REFINED WHEAT FLOUR, sugar, REFINED SUGAR",5,High Risk
"IODISED SALT, whole wheat, Hydrogenated Vegetable Oil",2,Safe
"salt, REFINED WHEAT FLOUR (MAIDA), Bengal Gram, cocoa butter, colour (ins 150d), Emulsifier (Soya Lecithin), PALMOLEIN",4,Concerning
"REFINED PALMOLEIN, orange juice concentrate, Salt",3,Moderate
"Sugar, Soya Flour, SALT, Red Chilli Powder, Rice Flour, Toned Milk",2,Safe
"BUTTER, glucose, palmolein, TERTIARY BUTYLHYDROQUINONE (ANTIOXIDANT, E319), Ferrous Citrate",5,High Risk
"bengal gram dal, black salt, CARBONATED WATER",1,Very Safe
"REFINED PALMOLEIN, flavouring substances, SWEETENER (960), Purified Water, refined sugar, flavouring substance, Dough Conditioner (223), sugar, dough conditioner (223), Refined Soyabean Oil",5,High Risk
"Edible Common Salt, Refined Soyabean Oil, COCOA BUTTER, soy sauce powder (soybean, wheat, salt), wheat flour (maida)",3,Moderate
TONED MILK,1,Very Safe
"ACIDITY REGULATOR (INS 330); ADDED ORANGE FLAVOUR; emulsifiers (322,472e,471); Sucrose; BUTTER; PRESERVATIVE-211; Refined Wheat Flour (Maida); Antioxidant (Ins 320)",5,High Risk
"EMULSIFIER (SOYA LECITHIN), Sugar, DOUGH CONDITIONER (223), Maize Starch, palmolien oil, IODIZED SALT, Edible Vegetable Fat, Wheat Gluten",4,Concerning
"refined wheat flour, Organic Whole Millets Flour, PALMOLEIN, WHEAT GLUTEN, Spices & Condiments",3,Moderate
"edible palm oil, Sugar, REFINED PALMOLEIN OIL",3,Moderate
"Edible Vegetable Oil (Palm), NATURAL SPICE EXTRACTS, SYNTHETIC FOOD COLOUR (INS-122)(INS-124), Wheat Flour (Maida), LIQUID GLUCOSE, Invert Syrup, MIXED FRUIT, Synthetic Food Colour (Ins-122)(Ins-124), Edible Vegetable Oil (Mustard Oil), LODIZED SALT, hydrogenated vegetable oil",5,High Risk
